Position,Candidate Name,Party,Votes,Percentage (%),CandidateId
president,Utsav Thapa,नेविसंघ (Nepali Congress),1,50,68b82131641eb330038016d8
vicePresident,Pramish Sharma Poudel,नेविसंघ (Nepali Congress),1,50,68b82131641eb330038016d9
secretary,Aashish Adhikari,नेविसंघ (Nepali Congress),1,50,68b82131641eb330038016da
treasurer,Dinesh Pandey,नेविसंघ (Nepali Congress),2,100,68b82131641eb330038016db
members,Utsav Rai,नेविसंघ (Nepali Congress),2,25,68b82131641eb330038016dc
members,Kiran Maharjan,नेविसंघ (Nepali Congress),2,25,68b82131641eb330038016dd
president,Sangita Poudel,अनेरास्ववियू (CPN-UML),1,50,68b82131641eb330038016df
vicePresident,Pramish Sharma Poudel,अनेरास्ववियू (CPN-UML),1,50,68b82131641eb330038016e0
secretary,Sameer Pokhrel,अनेरास्ववियू (CPN-UML),1,50,68b82131641eb330038016e1
treasurer,Sabina Baral,अनेरास्ववियू (CPN-UML),0,0,68b82131641eb330038016e2
members,Anushka Mudbhari,अनेरास्ववियू (CPN-UML),2,25,68b82131641eb330038016e3
members,Sita Sapkota,अनेरास्ववियू (CPN-UML),2,25,68b82131641eb330038016e4
